dataset,representation,n_features,n_images,n_artists,C,macro_f1,accuracy
artbench10_all,B90,90,59962,2126,1.0,0.35039378353696515,0.37395350388579435
artbench10_all,K40,40,59962,2126,1.0,0.2525542363001603,0.2935359060738468
artbench10_all,G44,44,59962,2126,1.0,0.26582303082765024,0.30409259197491745
artbench10_all,B90_K40,130,59962,2126,1.0,0.37276971140305637,0.394349754844735
artbench10_all,B90_G44,134,59962,2126,1.0,0.3766728457937129,0.39735165604883094
artbench10_all,OP75,75,59962,2126,1.0,0.2596437153608254,0.29106767619492346
artbench10_all,OP75_K40,115,59962,2126,1.0,0.326724014326207,0.3520062706380708
artbench10_all,B90_OP75,165,59962,2126,1.0,0.3836279975854175,0.40160434942130013
artbench10_all,B90_OP75_K40,205,59962,2126,1.0,0.4005180259506086,0.4166805643574264
artbench10_all,K_s1,10,59962,2126,1.0,0.1797614590081058,0.20941596344351424
artbench10_all,K_s2,10,59962,2126,1.0,0.19024941303545048,0.24805710283179347
artbench10_all,K_s4,10,59962,2126,1.0,0.17144261317682155,0.22689369934291717
artbench10_all,K_s8,10,59962,2126,1.0,0.1535256254661405,0.20132750742136687
artbench10_all,K_fine_s1_s2,20,59962,2126,1.0,0.23591448282493427,0.28162836463093294
artbench10_all,K_coarse_s4_s8,20,59962,2126,1.0,0.19988692644415945,0.24683966512124345
artbench10_all,K_all,40,59962,2126,1.0,0.2525542363001603,0.2935359060738468
artbench10_wikiart8,B90,90,48000,1701,1.0,0.3342855810773946,0.3474583333333333
artbench10_wikiart8,K40,40,48000,1701,1.0,0.2737916846402211,0.29652083333333334
artbench10_wikiart8,G44,44,48000,1701,1.0,0.2865165555014165,0.3078125
artbench10_wikiart8,B90_K40,130,48000,1701,1.0,0.35765106044503836,0.371
artbench10_wikiart8,B90_G44,134,48000,1701,1.0,0.3606793210299155,0.37402083333333336
artbench10_wikiart8,OP75,75,48000,1701,1.0,0.26671295943907214,0.28229166666666666
artbench10_wikiart8,OP75_K40,115,48000,1701,1.0,0.3305958153099111,0.34339583333333334
artbench10_wikiart8,B90_OP75,165,48000,1701,1.0,0.36222011448424596,0.37233333333333335
artbench10_wikiart8,B90_OP75_K40,205,48000,1701,1.0,0.3795471571142722,0.3895
artbench10_wikiart8,K_s1,10,48000,1701,1.0,0.18988429026358888,0.22102083333333333
artbench10_wikiart8,K_s2,10,48000,1701,1.0,0.21505680112368594,0.24804166666666666
artbench10_wikiart8,K_s4,10,48000,1701,1.0,0.2040645856209165,0.23504166666666668
artbench10_wikiart8,K_s8,10,48000,1701,1.0,0.1899876331310495,0.21710416666666665
artbench10_wikiart8,K_fine_s1_s2,20,48000,1701,1.0,0.2602322283815397,0.285875
artbench10_wikiart8,K_coarse_s4_s8,20,48000,1701,1.0,0.23363524726507479,0.2523958333333333
artbench10_wikiart8,K_all,40,48000,1701,1.0,0.2737916846402211,0.29652083333333334
